场景ID,子场景ID,设备ID,产品ID,产品名称,产品描述,价格,品牌,型号,图片URL
home,security,surveillanceCamera,1,海康威视DS-2CD2T47G0-L,400万像素高清夜视监控摄像头,899,海康威视,DS-2CD2T47G0-L,https://picsum.photos/seed/hikvision-camera/300/200
home,security,surveillanceCamera,2,大华DH-IPC-HFW2431M-I2,300万像素全彩夜视监控摄像头,799,大华,DH-IPC-HFW2431M-I2,https://picsum.photos/seed/dahua-camera/300/200
home,security,surveillanceCamera,3,小米智能摄像机2K全能版,2K超清夜视人形追踪,329,小米,MDWXJ05LM,https://picsum.photos/seed/xiaomi-camera/300/200
home,security,doorLock,1,凯迪仕K20 Pro,指纹密码刷卡APP远程猫眼智能门锁,2699,凯迪仕,K20 Pro,https://picsum.photos/seed/kaadas-lock/300/200
home,security,doorLock,2,德施曼R7P Max,3D人脸识别指纹密码智能门锁,3299,德施曼,R7P Max,https://picsum.photos/seed/dessmann-lock/300/200
home,security,doorLock,3,小米智能门锁Pro,指纹密码NFC蓝牙APP多种开锁方式,1299,小米,XMSMMKS03LM,https://picsum.photos/seed/xiaomi-lock/300/200
home,security,alarmSystem,1,博世B4410i,烟雾报警器,249,博世,B4410i,https://picsum.photos/seed/bosch-smoke/300/200
home,security,alarmSystem,2,海尔燃气报警器,家用燃气泄漏检测报警,129,海尔,JRB-Q01,https://picsum.photos/seed/haier-gas/300/200
home,security,alarmSystem,3,360智能门铃5Pro,可视门铃高清夜视,299,360,DB128,https://picsum.photos/seed/360-doorbell/300/200
home,smartHome,light,1,Yeelight彩光灯,智能彩光灯泡WiFi控制,69,Yeelight,YLDP06YL,https://picsum.photos/seed/yeelight/300/200
home,smartHome,light,2,小米智能灯泡,WiFi连接语音控制,49,小米,ML-L05,https://picsum.photos/seed/xiaomi-light/300/200
home,smartHome,light,3,飞利浦Hue白光灯,智能调光灯泡,129,飞利浦,9290022820,https://picsum.photos/seed/philips-light/300/200
home,smartHome,thermostat,1,小米空调伴侣2,智能空调控制器,169,小米,K1,https://picsum.photos/seed/xiaomi-thermostat/300/200
home,smartHome,thermostat,2,华为智能温控器,精准控温WiFi连接,249,华为,WS7100,https://picsum.photos/seed/huawei-thermostat/300/200
home,smartHome,thermostat,3,巢智能恒温器,自适应学习温控,1299,巢,NEST-T3007ES,https://picsum.photos/seed/nest-thermostat/300/200
home,smartHome,curtain,1,绿米智能窗帘电机,WiFi连接语音控制,349,绿米,ZNLDP12LM,https://picsum.photos/seed/aqara-curtain/300/200
home,smartHome,curtain,2,小米智能窗帘伴侣,自动开合窗帘,299,小米,MCCGQ02LM,https://picsum.photos/seed/xiaomi-curtain/300/200
home,smartHome,curtain,3,创米小白智能窗帘,APP控制语音控制,329,创米小白,CM-101,https://picsum.photos/seed/chuangmi-curtain/300/200
home,health,scale,1,小米体脂秤3,13项身体数据检测,119,小米,XMTZC05HM,https://picsum.photos/seed/xiaomi-scale/300/200
home,health,scale,2,华为体脂秤Pro,14项身体数据检测,179,华为,BSH-W01,https://picsum.photos/seed/huawei-scale/300/200
home,health,scale,3,有品PICOOC体脂秤S3,精准测量16项身体数据,199,有品,S3,https://picsum.photos/seed/picooc-scale/300/200
home,health,watch,1,Apple Watch Series 8,血氧心率监测,2999,苹果,MWET3CH/A,https://picsum.photos/seed/apple-watch/300/200
home,health,watch,2,华为Watch GT 3 Pro,心电图监测,2188,华为,B199,https://picsum.photos/seed/huawei-watch/300/200
home,health,watch,3,小米Watch S1 Pro,全天候健康监测,1299,小米,M2131W1,https://picsum.photos/seed/xiaomi-watch/300/200
home,health,monitor,1,鱼跃血压计YE680A,智能加压测量,299,鱼跃,YE680A,https://picsum.photos/seed/yuwell-monitor/300/200
home,health,monitor,2,欧姆龙血压计HEM-7121,精准测量,329,欧姆龙,HEM-7121,https://picsum.photos/seed/omron-monitor/300/200
home,health,monitor,3,倍轻松头部按摩器iDream3S,智能按摩缓解疲劳,1199,倍轻松,iDream3S,https://picsum.photos/seed/beisong-monitor/300/200
home,education,robot,1,科大讯飞阿尔法蛋AI练字笔T10,智能练字纠错,699,科大讯飞,T10,https://picsum.photos/seed/iflytek-robot/300/200
home,education,robot,2,小度智能学习平板Z20,AI精准学,2799,小度,Z20,https://picsum.photos/seed/baidu-robot/300/200
home,education,robot,3,优必选悟空机器人,STEM教育编程,1999,优必选,悟空,https://picsum.photos/seed/ubtech-robot/300/200
home,education,projector,1,当贝D5X,1080P全高清智能投影仪,2499,当贝,D5X,https://picsum.photos/seed/dangbei-projector/300/200
home,education,projector,2,极米NEW Z6X,1080P高清便携投影仪,3299,极米,NEW Z6X,https://picsum.photos/seed/xgimi-projector/300/200
home,education,projector,3,坚果J10S,4K超高清投影仪,5499,坚果,J10S,https://picsum.photos/seed/jmgo-projector/300/200
home,education,printer,1,惠普Smart Tank 518,连供彩色打印复印扫描,1499,惠普,Smart Tank 518,https://picsum.photos/seed/hp-printer/300/200
home,education,printer,2,佳能G3800,彩色照片打印机,1299,佳能,G3800,https://picsum.photos/seed/canon-printer/300/200
home,education,printer,3,爱普生L3153,墨仓式彩色打印机,1199,爱普生,L3153,https://picsum.photos/seed/epson-printer/300/200
community,property,accessControl,1,海康威视DS-K1T671M,人脸识别门禁一体机,3999,海康威视,DS-K1T671M,https://picsum.photos/seed/hikvision-access/300/200
community,property,accessControl,2,大华DH-ASI722MF,智能人脸识别门禁,4299,大华,DH-ASI722MF,https://picsum.photos/seed/dahua-access/300/200
community,property,accessControl,3,中控智慧ZKTeco C3,指纹人脸识别门禁,2599,中控智慧,C3,https://picsum.photos/seed/zkteco-access/300/200
community,property,elevator,1,迅达Schindler 3300 AP,智能电梯控制系统,150000,迅达,3300 AP,https://picsum.photos/seed/schindler-elevator/300/200
community,property,elevator,2,通力KONE MiniSpace,小机房乘客电梯,180000,通力,MiniSpace,https://picsum.photos/seed/kone-elevator/300/200
community,property,elevator,3,日立NPX-W,智能控制高速电梯,220000,日立,NPX-W,https://picsum.photos/seed/hitachi-elevator/300/200
community,property,securitySystem,1,博世B3920iP,社区周界防范系统,8999,博世,B3920iP,https://picsum.photos/seed/bosch-security/300/200
community,property,securitySystem,2,霍尼韦尔VISTA-20P,社区报警主机,6799,霍尼韦尔,VISTA-20P,https://picsum.photos/seed/honeywell-security/300/200
community,property,securitySystem,3,天地伟业TC-NVR8804HS,网络硬盘录像机,3299,天地伟业,TC-NVR8804HS,https://picsum.photos/seed/tiandwei-security/300/200
community,environment,airQuality,1,360空气监测仪S10,PM2.5甲醛监测,399,360,S10,https://picsum.photos/seed/360-air/300/200
community,environment,airQuality,2,小米空气检测仪4 Pro,六合一空气质量监测,499,小米,AM4PM,https://picsum.photos/seed/xiaomi-air/300/200
community,environment,airQuality,3,海尔智能空气质量检测仪,甲醛PM2.5温湿度监测,329,海尔,AM-201,https://picsum.photos/seed/haier-air/300/200
community,environment,waterQuality,1,碧水源家用净水器D608,RO反渗透过滤,2999,碧水源,D608,https://picsum.photos/seed/bishuiyuan-water/300/200
community,environment,waterQuality,2,沁园净水器KRL3916,RO反渗透过滤,3499,沁园,KRL3916,https://picsum.photos/seed/qin yuan-water/300/200
community,environment,waterQuality,3,美的净水器MRO1790D-400G,无桶大通量,2699,美的,MRO1790D-400G,https://picsum.photos/seed/midea-water/300/200
community,environment,noiseMonitor,1,声博士AS-801,智能噪音监测仪,1299,声博士,AS-801,https://picsum.photos/seed/shengbo-shi-noise/300/200
community,environment,noiseMonitor,2,路博LB-8210,高精度噪音监测仪,2499,路博,LB-8210,https://picsum.photos/seed/lubo-noise/300/200
community,environment,noiseMonitor,3,华盛昌DT-8850,专业噪音测试仪,899,华盛昌,DT-8850,https://picsum.photos/seed/hc-noise/300/200
community,convenience,chargingPile,1,星星充电DC-60KW,直流快充充电桩,32999,星星充电,DC-60KW,https://picsum.photos/seed/xingxing-charge/300/200
community,convenience,chargingPile,2,特来电TC-EV200,智能交流充电桩,8999,特来电,TC-EV200,https://picsum.photos/seed/te lai-dian-charge/300/200
community,convenience,chargingPile,3,小桔充电DC-120KW,超充充电桩,65999,小桔充电,DC-120KW,https://picsum.photos/seed/xiaoju-charge/300/200
community,convenience,locker,1,丰巢智能柜FC-50,大容量快递柜,25999,丰巢,FC-50,https://picsum.photos/seed/fengchao-locker/300/200
community,convenience,locker,2,菜鸟驿站智能柜CN-100,多尺寸格子柜,28999,菜鸟驿站,CN-100,https://picsum.photos/seed/cainiao-locker/300/200
community,convenience,locker,3,中邮速递易E100,智能快递存储柜,31999,中邮速递易,E100,https://picsum.photos/seed/zhongyou-locker/300/200
community,convenience,atm,1,广电运通AFC-1000,多功能自助终端,49999,广电运通,AFC-1000,https://picsum.photos/seed/guangdian-atm/300/200
community,convenience,atm,2,御银股份BY-8800,金融自助终端,52999,御银股份,BY-8800,https://picsum.photos/seed/yuyin-atm/300/200
community,convenience,atm,3,怡化金融设备BST-5000,智慧柜员机,65999,怡化金融,BST-5000,https://picsum.photos/seed/yihua-atm/300/200
city,transportation,trafficLight,1,海信智能交通信号机TCS-500,自适应交通信号控制,29999,海信,TCS-500,https://picsum.photos/seed/hisense-traffic/300/200
city,transportation,trafficLight,2,银江智能交通控制器YT-800,多相位智能控制,32999,银江,YT-800,https://picsum.photos/seed/yinjiang-traffic/300/200
city,transportation,trafficLight,3,大华智能交通信号机DH-TCS-600,联网智能控制,35999,大华,DH-TCS-600,https://picsum.photos/seed/dahua-traffic/300/200
city,transportation,monitor,1,海康威视DS-2CD9246FWD-IZS,4K交通专用摄像机,1299,海康威视,DS-2CD9246FWD-IZS,https://picsum.photos/seed/hikvision-monitor/300/200
city,transportation,monitor,2,宇视科技IPC-TC382-AF,交通事件检测摄像机,1599,宇视科技,IPC-TC382-AF,https://picsum.photos/seed/uniview-monitor/300/200
city,transportation,monitor,3,天地伟业TC-ITC5822F,智能交通摄像机,1499,天地伟业,TC-ITC5822F,https://picsum.photos/seed/tiandwei-monitor/300/200
city,transportation,parking,1,捷顺Jieshun DT500,车牌识别一体机,8999,捷顺,DT500,https://picsum.photos/seed/jieshun-parking/300/200
city,transportation,parking,2,立方智慧停车系统CPS-1000,城市级智慧停车平台,199999,立方,CPS-1000,https://picsum.photos/seed/lifang-parking/300/200
city,transportation,parking,3,ETCP智能停车设备EPM-2000,无人值守停车系统,12999,ETCP,EPM-2000,https://picsum.photos/seed/etcp-parking/300/200
city,environment,airMonitor,1,聚光科技AQMS-900,大气环境监测系统,199999,聚光科技,AQMS-900,https://picsum.photos/seed/jiuguang-air/300/200
city,environment,airMonitor,2,先河环保XH-AQMS-1000,空气质量自动监测系统,249999,先河环保,XH-AQMS-1000,https://picsum.photos/seed/xianhe-air/300/200
city,environment,airMonitor,3,雪迪龙SCS-900B,大气污染物监测系统,289999,雪迪龙,SCS-900B,https://picsum.photos/seed/xuedilong-air/300/200
city,environment,waterMonitor,1,哈希HACH CL17,余氯分析仪,12999,哈希,CL17,https://picsum.photos/seed/hach-water/300/200
city,environment,waterMonitor,2,赛默飞世尔Orion AQUAfast,水质多参数分析仪,25999,赛默飞世尔,Orion AQUAfast,https://picsum.photos/seed/thermofisher-water/300/200
city,environment,waterMonitor,3,岛津TOC-L CPH,总有机碳分析仪,49999,岛津,TOC-L CPH,https://picsum.photos/seed/shimadzu-water/300/200
city,environment,garbage,1,小黄狗智能垃圾分类回收机,垃圾分类回收,19999,小黄狗,GC-100,https://picsum.photos/seed/xiaohuanggou-garbage/300/200
city,environment,garbage,2,海尔智能垃圾分类站,AI识别分类,25999,海尔,GL-200,https://picsum.photos/seed/haier-garbage/300/200
city,environment,garbage,3,盈峰环境智能垃圾桶,满溢监测,8999,盈峰环境,GT-50,https://picsum.photos/seed/yingfeng-garbage/300/200
city,publicService,healthcare,1,联影医疗uCT 528,螺旋CT扫描仪,5999999,联影医疗,uCT 528,https://picsum.photos/seed/unionmed-healthcare/300/200
city,publicService,healthcare,2,迈瑞医疗BeneVision N12,病人监护仪,89999,迈瑞医疗,BeneVision N12,https://picsum.photos/seed/mindray-healthcare/300/200
city,publicService,healthcare,3,东软医疗NeuViz 128,CT扫描仪,4999999,东软医疗,NeuViz 128,https://picsum.photos/seed/neusoft-healthcare/300/200
city,publicService,education,1,科大讯飞智慧课堂系统,AI教学系统,299999,科大讯飞,Classroom AI,https://picsum.photos/seed/iflytek-education/300/200
city,publicService,education,2,腾讯教育企鹅E学,在线教育平台,199999,腾讯,企鹅E学,https://picsum.photos/seed/tencent-education/300/200
city,publicService,education,3,网易有道智能学习平板,AI精准学,3999,网易有道,X10,https://picsum.photos/seed/youdao-education/300/200
city,publicService,security,1,海康威视DS-2CD8A46G0-LS,800万像素星光级摄像机,2999,海康威视,DS-2CD8A46G0-LS,https://picsum.photos/seed/hikvision-security/300/200
city,publicService,security,2,大华DH-IPC-HDW8831T-MI2,4K超高清摄像机,2799,大华,DH-IPC-HDW8831T-MI2,https://picsum.photos/seed/dahua-security/300/200
city,publicService,security,3,宇视科技IPC-HFW8243E-ZS,星光级摄像机,2599,宇视科技,IPC-HFW8243E-ZS,https://picsum.photos/seed/uniview-security/300/200
